id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,height,clli_code,st_uom_cd,st_pl_cl_cd,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_rte_id,st_bond_to_neut_cd,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd
STRUCTURE_REG16/219590,01010000001C574E3B6F295AC04006D604603A4940,POL:PPOLE:C216709,,POWER,LOC_C6217678,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219591,010100000044A25BA557295AC008C24AAF543A4940,POL:PPOLE:C216729,,POWER,LOC_C6217697,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/219596,0101000000543D081D4E2A5AC0A021C0AF323B4940,POL:PPOLE:C220696,,POWER,LOC_C6221636,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219597,0101000000D0945D63A92A5AC038DFEF87873A4940,POL:PPOLE:C221104,,POWER,LOC_C6222035,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219602,010100000000C55DF7B5295AC0D8DCB7184B3C4940,POL:PPOLE:C231060,,POWER,LOC_C6231867,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219607,0101000000C8541F1AE6295AC04833C4BB603A4940,POL:PPOLE:C213204,,POWER,LOC_C6214211,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,BN,,,,,AE
STRUCTURE_REG16/219609,0101000000207BE20B63295AC0F0A313A9333B4940,POL:PPOLE:C215491,,POWER,LOC_C6216475,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,2002,,,,,,,,,AE
STRUCTURE_REG16/219615,01010000002CE6BE0775295AC088881B8AD73A4940,POL:PPOLE:C218067,,POWER,LOC_C6219014,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,1972,,,,,,,,,AE
STRUCTURE_REG16/219622,0101000000D42C9FFE162B5AC0183C5523933A4940,POL:PPOLE:C218226,,POWER,LOC_C6219174,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219623,01010000002CE8205C3F2B5AC040BCCA217C3A4940,POL:PPOLE:C218250,,POWER,LOC_C6219196,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219625,01010000002C8AC33E462B5AC0303F02AF713A4940,POL:PPOLE:C218317,,POWER,LOC_C6219266,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219636,010100000088196D97CE295AC0402613368A3A4940,POL:PPOLE:C214656,,POWER,LOC_C6215638,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/219642,0101000000648A33983C295AC08010FFA6333B4940,POL:PPOLE:C215972,,POWER,LOC_C6216951,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,2002,,,,,,,,,AE
