id,name,in_structure,out_structure
ug_route/159322,OSP:BUSP::12732822,mywcom_route_junction/20798,st_struct_pedestal/66976
ug_route/159323,OSP:FBSP:C253980,mywcom_route_junction/20867,st_struct_pedestal/66950
ug_route/159324,OSP:BUSP::12733690,mywcom_route_junction/20854,st_struct_pedestal/66904
ug_route/159325,OSP:BUSP::12358006,cabinet/2413,st_struct_pedestal/66966
ug_route/159326,OSP:BUSP::13231617,st_struct_pedestal/67012,st_struct_pedestal/66974
ug_route/159327,OSP:BUSP::12358345,st_struct_pedestal/66876,st_struct_pedestal/67018
ug_route/159328,OSP:BUSP::12358013,mywcom_route_junction/20871,st_struct_pedestal/66942
ug_route/159329,OSP:BUSP::12358970,mywcom_route_junction/20800,st_struct_pedestal/66975
ug_route/159330,OSP:FBSP::8557255,st_struct_pedestal/66866,building/48695
ug_route/159331,OSP:BUSP::12728266,st_struct_pedestal/67011,mywcom_route_junction/20827
ug_route/159332,OSP:FBSP:C263478,mywcom_route_junction/20873,st_struct_pedestal/66942
ug_route/159333,OSP:BUSP::12726037,st_struct_pedestal/66890,cabinet/2412
ug_route/159334,OSP:FBSP:C270576,st_struct_pedestal/66974,mywcom_route_junction/20832
ug_route/159335,OSP:BUSP::13893053,st_struct_pedestal/66937,mywcom_route_junction/20861
ug_route/159336,OSP:BUSP::16820288,mywcom_route_junction/20850,building/48690
ug_route/159337,OSP:FBSP:C258685,st_struct_pedestal/66859,st_struct_pedestal/66897
ug_route/159338,OSP:BUSP::12358427,st_struct_pedestal/66950,mywcom_route_junction/20868
ug_route/159339,OSP:BUSP::12730599,mywcom_route_junction/20862,st_struct_pedestal/66941
ug_route/159340,OSP:FBSP::8705779,st_struct_pedestal/66949,building/48702
ug_route/159341,OSP:BUSP::8492932,mywcom_route_junction/20824,cabinet/2411
ug_route/159342,OSP:BUSP::12358644,st_struct_pedestal/66859,st_struct_pedestal/66897
ug_route/159343,OSP:FBSP::8705765,st_struct_pedestal/66860,st_struct_pedestal/66930
ug_route/159344,OSP:FBSP::8697735,st_struct_pedestal/66985,building/48713
ug_route/159345,OSP:FBSP::9105748,st_struct_pedestal/66961,mywcom_route_junction/20823
ug_route/159346,OSP:BUSP::13342675,st_struct_pedestal/66974,mywcom_route_junction/20826
ug_route/159347,OSP:FORSP::7259028,building/48699,st_struct_vault/2407
ug_route/159348,OSP:BUSP::12733692,st_struct_pedestal/66939,st_struct_pedestal/66987
ug_route/159349,OSP:FBSP::8705767,st_struct_pedestal/66889,st_struct_pedestal/66919
ug_route/159350,OSP:BUSP::12358646,mywcom_route_junction/20859,st_struct_pedestal/66838
ug_route/159351,OSP:FBSP:C272467,st_struct_pedestal/66980,building/48714
ug_route/159352,OSP:BUSP::13654324,st_struct_pedestal/66980,building/48714
ug_route/159353,OSP:FBSP:C254644,st_struct_pedestal/66836,st_struct_pedestal/66963
ug_route/159354,OSP:BUSP::12358409,st_struct_pedestal/66890,st_struct_pedestal/66861
