id,name,in_structure,out_structure
oh_route/93876,OSP:MESS:C705804,pole/53278,building/66762
oh_route/93877,OSP:MESS:C646322,pole/52716,pole/54332
oh_route/93878,OSP:MESS:C704885,pole/52998,pole/52929
oh_route/93879,OSP:MESS:C638976,pole/53695,pole/52828
oh_route/93880,OSP:MESS:C651972,pole/54144,pole/52495
oh_route/93951,OSP:MESS:C657040,pole/53935,pole/54056
oh_route/93881,OSP:MESS:C654253,pole/54083,pole/54580
oh_route/93882,OSP:MESS:C645003,pole/53187,pole/52413
oh_route/93883,OSP:MESS:C706548,pole/53270,pole/52815
oh_route/93884,OSP:MESS:C655156,pole/52299,pole/53186
oh_route/93885,OSP:MESS:C652350,pole/53985,pole/52336
oh_route/93886,OSP:MESS:C655004,pole/54404,building/66256
oh_route/93887,OSP:MESS:C638842,pole/53815,pole/52749
