id,path,in_structure,out_structure,name,specification,type_name,inventory_status_code,work_order_name,st_std_desc,measured_length,st_ownr_co_nm,st_eas_rmks,st_co_id,st_rmks,st_vntge_yr,sap_pm_order,create_user,created_at,update_user,updated_at
oh_route/563368,010200000002000000744394DBA8EA5AC0987DA701B7544940401171C4B1EA5AC048549088B1544940,pole/53793,pole/54505,OSP:MESS:C642316,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/875632,01020000000200000048F8BDD1D7F15AC030A8184FD324494000965AC4D7F15AC090D7D9B6C6244940,pole/53844,pole/52579,OSP:MESS:C638922,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/213055,010200000002000000341CADA273EA5AC07803AFDDD0544940BC55FD687DEA5AC020D19FCBCE544940,pole/53279,pole/53961,OSP:MESS:C642274,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/399906,010200000002000000843D01D53EEA5AC0083A7228AC54494068CBEE0647EA5AC018549B3FB3544940,pole/53610,pole/52616,OSP:MESS:C642351,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/772429,0102000000020000009CA20764ADF45AC0208449898E24494068532448ADF45AC080930C249B244940,pole/53288,pole/52627,OSP:MESS:C668855,MESSENGER,MESSENGER,IPL,,Aerial Fiber,0.0,SASKTEL,,SWCRSK02,,,,,,HUNTG1,2025-11-21T11:26:17
oh_route/485775,010200000002000000BC9069C833F25AC0D842DBC7D0244940B433CFEE29F25AC010678DCDD0244940,pole/53082,pole/52544,OSP:MESS:C647819,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/333329,01020000000200000010C5BE466DF25AC0F88C48D776254940705C606B63F25AC060C882E076254940,pole/53714,pole/53084,OSP:MESS:C644591,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/354089,01020000000200000054E2D79B7AF15AC09020A7B21F234940600EEC7276F15AC0C0C51A332B234940,pole/54417,pole/54216,OSP:MESS:C670583,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/838640,01020000000200000054CDB35F25F25AC00837BB50A1254940BCAE33791BF25AC0C0CE44E0A1254940,pole/53339,pole/52880,OSP:MESS:C646377,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/784619,010200000002000000947B4BB00DEF5AC070E7B0D24F0E4940D029DCB30DEF5AC068DC21865C0E4940,pole/54157,pole/52547,OSP:MESS:C658606,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,WYMRSK02,,,,,,CHENR1,2022-05-02T05:39:51
