id,name,in_structure,out_structure
ug_route/165598,OSP:BUSP:C650870,st_struct_pedestal/67100,st_struct_pedestal/67396
ug_route/165599,OSP:BUSP:C661731,st_struct_pedestal/67393,building/48805
ug_route/165600,OSP:BUSP:C642101,st_struct_pedestal/70690,building/51392
ug_route/165601,OSP:BUSP:C644124,st_struct_buried_splice_location/2671,st_struct_pedestal/67304
ug_route/165602,OSP:BUSP:C661192,st_struct_pedestal/70494,building/50577
ug_route/165603,OSP:BUSP:C641653,st_struct_pedestal/69609,st_struct_pedestal/67388
ug_route/165604,OSP:BUSP:C657850,st_struct_pedestal/69526,st_struct_pedestal/70447
ug_route/165605,OSP:BUSP:C707785,st_struct_pedestal/67674,st_struct_pedestal/67238
ug_route/165606,OSP:BUSP::16730568,mywcom_route_junction/21417,st_struct_pedestal/69148
ug_route/165607,OSP:BUSP:C640908,st_struct_pedestal/67805,building/51385
